Attack_ID,Attack_Type,Weight,Num_Attempts,Duration,Headers_Complexity,Payload_Complexity
74,BruteForceLogin,7,75,1.92,2.893,2.027
75,XSSAttack,5,61,55.864,5.149,3.14
76,PortScanning,3,67,41.403,6.953,2.807
77,Dos,10,6,40.623,2.429,2.887
78,PortScanning,3,9,13.019,2.51,0.973
79,BruteForceLogin,7,6,39.567,5.836,2.74
80,Dos,10,73,23.692,4.542,3.833
81,BruteForceLogin,7,95,39.109,2.095,3.347
82,XSSAttack,5,32,6.485,4.492,2.907
83,SQLInjection,9,41,39.505,5.618,1.84
84,Dos,10,76,59.965,5.649,2.317
85,XSSAttack,5,8,2.988,5.554,2.077
86,XSSAttack,5,72,58.633,2.915,2.707
87,Dos,10,50,24.474,4.283,1.823
88,BruteForceLogin,7,92,52.258,5.572,1.243
89,XSSAttack,5,62,46.965,3.277,2.967
90,PortScanning,3,84,34.064,6.484,1.85
91,XSSAttack,5,62,44.333,4.437,2.133
92,BruteForceLogin,7,7,52.723,1.891,2.337
93,BruteForceLogin,7,75,24.308,4.609,2.743
94,PortScanning,3,84,19.689,2.44,3.32
95,XSSAttack,5,80,40.089,5.362,3.52
96,BruteForceLogin,7,4,48.49,4.459,2.23
97,Dos,10,6,45.761,3.797,2.1
98,SQLInjection,9,58,47.889,5.155,1.67
99,SQLInjection,9,22,26.191,4.019,2.627
100,SQLInjection,9,26,49.088,6.068,1.947
101,XSSAttack,5,3,7.301,3.602,1.553
102,PortScanning,3,41,32.715,3.926,2.437
103,BruteForceLogin,7,60,0.445,5.647,3.05
104,Dos,10,14,19.543,6.314,2.133
105,Dos,10,75,22.051,6.706,2.11
106,XSSAttack,5,82,23.831,2.582,2.65
107,SQLInjection,9,12,41.758,4.344,2.673
108,XSSAttack,5,87,23.375,5.277,1.787
109,PortScanning,3,12,26.977,3.822,2.713
110,PortScanning,3,13,14.329,5.551,1.86
111,BruteForceLogin,7,25,22.458,5.434,1.343
112,BruteForceLogin,7,45,13.713,4.995,3.46
113,PortScanning,3,19,4.484,3.306,1.06
114,PortScanning,3,55,36.247,5.705,2.47
115,PortScanning,3,45,40.126,3.768,2.393
116,XSSAttack,5,8,37.207,3.495,3.303
117,PortScanning,3,93,27.863,3.304,2.317
118,Dos,10,53,22.849,5.798,2.077
119,SQLInjection,9,55,51.814,2.537,2.61
120,PortScanning,3,32,31.193,6.3,2.79
121,SQLInjection,9,51,28.803,3.446,3.423
122,XSSAttack,5,44,1.636,4.817,4.183
123,SQLInjection,9,82,20.541,7.116,2.377
124,XSSAttack,5,70,22.874,5.276,1.77
125,Dos,10,18,23.989,4.576,0.847
126,XSSAttack,5,83,34.852,4.922,2.42
127,XSSAttack,5,22,32.063,5.589,3.57
128,BruteForceLogin,7,37,36.514,6.243,2.14
129,PortScanning,3,96,45.917,4.273,3.043
130,PortScanning,3,56,48.798,2.942,2.993
131,Dos,10,59,43.116,6.916,2.207
132,Dos,10,3,57.336,3.699,1.757
133,PortScanning,3,28,1.192,2.982,2.333
134,BruteForceLogin,7,74,11.827,5.511,2.77
135,PortScanning,3,35,0.553,6.221,3.027
136,BruteForceLogin,7,61,38.884,5.923,2.893
137,Dos,10,93,53.892,2.147,2.593
138,SQLInjection,9,54,14.685,5.272,1.817
139,Dos,10,63,55.629,5.418,2.913
140,Dos,10,79,3.71,5.709,2.567
141,XSSAttack,5,97,56.073,6.055,1.607
142,XSSAttack,5,7,21.162,5.137,1.883
143,XSSAttack,5,76,6.175,6.448,3.54
144,XSSAttack,5,49,29.204,3.355,3.717
145,BruteForceLogin,7,94,15.481,5.43,1.31
146,PortScanning,3,85,17.164,6.131,2.73
147,SQLInjection,9,31,18.507,2.193,3.85
148,Dos,10,58,48.201,4.813,2.593
149,BruteForceLogin,7,61,32.396,6.955,1.963
150,SQLInjection,9,24,18.747,3.779,1.973
151,BruteForceLogin,7,20,36.659,6.93,3.07
152,BruteForceLogin,7,37,42.997,3.26,1.293
153,Dos,10,4,16.43,7.165,1.023
154,PortScanning,3,92,24.872,4.533,1.19
155,XSSAttack,5,20,7.401,5.077,2.72
156,PortScanning,3,60,10.951,2.008,2.853
157,Dos,10,24,40.899,3.3,1.32
158,Dos,10,50,10.968,6.816,2.003
159,Dos,10,49,31.557,4.907,1.517
160,SQLInjection,9,51,42.572,7.036,1.807
161,PortScanning,3,96,6.502,6.054,2.443
162,PortScanning,3,36,34.082,5.58,3.027
163,BruteForceLogin,7,98,15.468,3.264,2.29
164,BruteForceLogin,7,66,57.779,5.735,2.42
165,BruteForceLogin,7,79,29.064,6.483,2.343
166,Dos,10,34,48.379,4.907,2.5
167,PortScanning,3,36,33.059,3.705,2.367
168,Dos,10,6,2.7,3.304,2.69
169,SQLInjection,9,39,38.026,4.654,3.373
170,BruteForceLogin,7,42,57.089,5.867,1.463
171,Dos,10,58,36.137,4.208,2.867
172,Dos,10,12,49.169,3.619,1.733
173,SQLInjection,9,3,53.064,4.021,3.313
174,XSSAttack,5,18,13.762,5.936,1.997
175,PortScanning,3,40,12.801,6.242,3.917
176,XSSAttack,5,21,36.698,5.554,2.033
177,BruteForceLogin,7,15,24.721,6.14,3.437
178,Dos,10,97,50.408,4.651,4.017
179,SQLInjection,9,99,54.011,5.676,2.117
180,SQLInjection,9,26,21.27,3.982,3.717
181,PortScanning,3,8,14.289,5.514,1.437
182,XSSAttack,5,94,46.853,2.299,2.36
183,PortScanning,3,87,16.561,3.287,1.423
184,Dos,10,42,49.375,4.174,1.26
185,PortScanning,3,44,25.482,6.023,2.043
186,SQLInjection,9,14,40.086,2.789,2.377
187,SQLInjection,9,78,5.823,4.136,2.627
188,BruteForceLogin,7,2,37.469,3.669,2.21
189,BruteForceLogin,7,37,27.161,2.527,2.18
190,Dos,10,69,35.238,3.379,3.183
191,XSSAttack,5,38,10.164,3.956,1.79
192,PortScanning,3,41,44.239,6.693,2.383
193,Dos,10,62,51.782,4.699,2.997
194,BruteForceLogin,7,60,13.083,4.549,1.457
195,PortScanning,3,14,5.833,3.411,3.637
196,BruteForceLogin,7,89,1.516,6.272,1.96
197,PortScanning,3,84,38.554,6.709,0.993
198,XSSAttack,5,2,36.465,4.041,3.11
199,Dos,10,70,32.847,3.331,2.607
200,PortScanning,3,17,13.994,5.605,3.163
